Sample	Plot	Species	Habitat	SA	Chlorophyll	Toughness	PHeight	LDMC	SLA	Reproductive
B41U	Under	Miscanthus	Under	3300.529	441	11	1.90	46.0336538461538	71.6981756657963	1
E39C	Control	Themeda	Open	331.031	370	5.425	0.14	39.4736842105263	8.38611866666667	1
F43C	Control	Themeda	Short	331.36	363	11	0.31	30	11.0453333333333	1
B7U	Under	Pseudognath	Under	334.775	201	0.760	0.11	4.83870967741935	69.1868333333333	1
B43U	Under	Oxalis	Under	335.243	222	2.180	0.08	9.70873786407767	34.530029	0
B25C	Control	Tristachya	Short	337.4	372	8.720	0.27	40.3225806451613	8.36752	1
F30C	Control	Commelina	Tall	338.216	234	3.725	0.06	30.0970873786408	11.2374993548387	0
I48U	Under	Helichrysum	Under	34.115	281	0.770	0.46	66.6666666666667	0.511725	1
D32C	Control	Helichrysum	Short	34.425	186	NA	0.28	NA	NA	1
E33C	Control	Helichrysum	Open	34.853	239	NA	0.27	NA	NA	1
G47C	Control	Helichrysum	Short	34.952	346	0.330	0.16	25	1.39808	1
E27U	Under	Commelina	Under	340.977	294	3.135	0.05	15.7894736842105	21.59521	0
G46C	Control	Miscanthus	Short	3406.399	308	11	0.74	44.4193912063134	76.6872059137056	0
F16U	Under	Commelina	Under	342.938	272	3.665	0.14	23.2558139534884	14.746334	0
E31U	Under	Oxalis	Under	344.404	156	1.030	0.06	6.74157303370786	51.0865933333333	0
F18C	Control	Themeda	Tall	344.677	384	3.445	0.56	55.2631578947368	6.23701238095238	1
D24U	Under	Miscanthus	Under	3447.087	281	10.560	0.92	41.2935323383085	83.4776490361446	0
B30U	Under	Commelina	Under	345.106	182	6.295	0.10	10.989010989011	31.404646	1
E46U	Under	Themeda	Under	350.94	357	1.815	0.38	44.4444444444444	7.89615	0
E14U	Under	Commelina	Under	350.957	236	3.625	0.09	23.6111111111111	14.8640611764706	0
I39C	Control	Miscanthus	Short	3506.15	507	11	0.86	44.4692737430168	78.8443278894472	0
E7U	Under	Commelina	Under	355.838	177	3.435	0.04	13.5922330097087	26.17951	0
F9U	Under	Oxalis	Under	357.322	275	1.420	0.21	1.0989010989011	325.16302	0
E35C	Control	Oxalis	Open	357.626	306	1.585	0.07	13.1313131313131	27.2345953846154	1
E47C	Control	Oxalis	Open	358.78	258	3.370	0.04	14.4329896907216	24.8583285714286	0
I26U	Under	Oxalis	Under	358.992	190	2.055	0.13	8.82352941176471	40.68576	0
E41C	Control	Helichrysum	Open	36.943	277	NA	0.23	NA	NA	1
F28U	Under	Commelina	Under	361.269	211	4.500	0.08	17.1717171717172	21.0386064705882	0
F19U	Under	Commelina	Under	361.693	287	3.225	0.22	16.6666666666667	21.70158	0
G7U	Under	Themeda	Under	362.161	281	1.005	0.60	68.1818181818182	5.31169466666667	1
E17C	Control	Themeda	Open	362.474	253	4.530	0.22	33.3333333333333	10.87422	1
D15C	Control	Commelina	Short	364.95	317	4.440	0.09	13	28.0730769230769	0
B15C	Control	Commelina	Short	365.237	135	4.745	0.07	15.0442477876106	24.2775182352941	0
E34U	Under	Commelina	Under	366.636	243	2.510	0.12	13.6363636363636	26.88664	1
G5C	Control	Oxalis	Short	367.628	205	2.575	0.11	3.96825396825397	92.642256	0
