Sample	Site	Plot	Species	WMass	Dmass	SA	Chlorophyll	Toughness	PHeight	Reproductive	Habitat	Theight	Circ	NN1	NN2	Pair	LDMC	SLA
I4U	I	Under	Commelina	0.069	0.013	298.228	342	4.480	0.08	N	Under	0.5	2.7	0.5	1	280	18.8405797101449	15.8290246153846
I50C	I	Control	Tristachya	0.176	0.077	709.815	279	7.215	0.37	F	Away	1.5	3.6	0.5	0.5	281	43.75	16.2243428571429
I50U	I	Under	Tristachya	0.151	0.075	685.306	458	5.765	0.51	N	Under	1.5	3.6	0.5	0.5	281	49.6688741721854	13.7974941333333
I5C	I	Control	Commelina	0.206	0.035	673.372	395	4.210	0.11	F	Short	1.5	4.1	0.5	1	282	16.9902912621359	39.632752
I5U	I	Under	Commelina	0.235	0.03	768.299	226	3.340	0.11	F	Under	1.5	4.1	0.5	1	282	12.7659574468085	60.1834216666667
I6C	I	Control	Themeda	0.048	0.024	536.208	289	5.650	0.48	F	Short	1.5	4.1	0.5	1	283	50	10.72416
I6U	I	Under	Themeda	0.02	0.01	207.582	363	4.210	0.43	N	Under	1.5	4.1	0.5	1	283	50	4.15164
I7C	I	Control	Commelina	0.14	0.021	520.197	344	5.755	0.10	N	Short	1	3.1	0.5	0.5	284	15	34.6798
I7U	I	Under	Commelina	0.126	0.021	457.652	222	3.895	0.20	N	Under	1	3.1	0.5	0.5	284	16.6666666666667	27.45912
I8C	I	Control	Themeda	0.033	0.005	326.33	236	1.455	0.46	F	Short	1	3.1	0.5	0.5	285	15.1515151515152	21.53778
I8U	I	Under	Themeda	0.015	0.006	180.59	357	1.540	0.36	N	Under	1	3.1	0.5	0.5	285	40	4.51475
I9C	I	Control	Commelina	0.267	0.029	1007.45	298	4.695	0.17	N	Short	1	3.9	0.5	0.5	286	10.8614232209738	92.7548793103448
I9U	I	Under	Commelina	0.127	0.027	434.846	363	6.115	0.08	F	Under	1	3.9	0.5	0.5	286	21.259842519685	20.4538674074074
